Period,Hypothesis,Lag (min),Correlation
2025-11-28 14:34:00+00:00 → 2025-11-28 15:08:00+00:00,EWJ follows QQQ,0,0.6422491956534803
2025-11-28 14:34:00+00:00 → 2025-11-28 15:08:00+00:00,EWT follows QQQ,0,0.9156260038632253
2025-11-28 14:34:00+00:00 → 2025-11-28 15:08:00+00:00,EWC follows QQQ,-4,0.35293431164134154
2025-11-28 14:34:00+00:00 → 2025-11-28 15:08:00+00:00,EWU follows QQQ,-4,0.18916438433961394
2025-11-28 14:34:00+00:00 → 2025-11-28 15:08:00+00:00,XLK follows QQQ,0,0.9362285918045442
2025-11-28 14:35:00+00:00 → 2025-11-28 15:09:00+00:00,EWJ follows QQQ,0,0.6306148482249228
2025-11-28 14:35:00+00:00 → 2025-11-28 15:09:00+00:00,EWT follows QQQ,0,0.9147537361355317
2025-11-28 14:35:00+00:00 → 2025-11-28 15:09:00+00:00,EWC follows QQQ,-5,0.3272417163294051
2025-11-28 14:35:00+00:00 → 2025-11-28 15:09:00+00:00,EWU follows QQQ,-4,0.08612423780569146
2025-11-28 14:35:00+00:00 → 2025-11-28 15:09:00+00:00,XLK follows QQQ,0,0.9344181475253782
2025-11-28 14:36:00+00:00 → 2025-11-28 15:10:00+00:00,EWJ follows QQQ,0,0.6651812640149076
2025-11-28 14:36:00+00:00 → 2025-11-28 15:10:00+00:00,EWT follows QQQ,0,0.9125340082307364
2025-11-28 14:36:00+00:00 → 2025-11-28 15:10:00+00:00,EWC follows QQQ,-4,0.1396140878360017
2025-11-28 14:36:00+00:00 → 2025-11-28 15:10:00+00:00,EWU follows QQQ,-4,0.1475155960295246
2025-11-28 14:36:00+00:00 → 2025-11-28 15:10:00+00:00,XLK follows QQQ,0,0.9350618159546524
2025-11-28 14:37:00+00:00 → 2025-11-28 15:11:00+00:00,EWJ follows QQQ,0,0.6823603510546653
2025-11-28 14:37:00+00:00 → 2025-11-28 15:11:00+00:00,EWT follows QQQ,0,0.9115319966271196
2025-11-28 14:37:00+00:00 → 2025-11-28 15:11:00+00:00,EWC follows QQQ,-4,0.09633223263286428
2025-11-28 14:37:00+00:00 → 2025-11-28 15:11:00+00:00,EWU follows QQQ,-4,0.190206795256748
2025-11-28 14:37:00+00:00 → 2025-11-28 15:11:00+00:00,XLK follows QQQ,0,0.9389085730709202
2025-11-28 14:38:00+00:00 → 2025-11-28 15:12:00+00:00,EWJ follows QQQ,0,0.6409604176095993
2025-11-28 14:38:00+00:00 → 2025-11-28 15:12:00+00:00,EWT follows QQQ,0,0.9057631740387284
2025-11-28 14:38:00+00:00 → 2025-11-28 15:12:00+00:00,EWC follows QQQ,-4,0.17143868522225347
2025-11-28 14:38:00+00:00 → 2025-11-28 15:12:00+00:00,EWU follows QQQ,-4,0.22747385310504709
2025-11-28 14:38:00+00:00 → 2025-11-28 15:12:00+00:00,XLK follows QQQ,0,0.9345704205838578
2025-11-28 14:39:00+00:00 → 2025-11-28 15:15:00+00:00,EWJ follows QQQ,0,0.6187683333420203
2025-11-28 14:39:00+00:00 → 2025-11-28 15:15:00+00:00,EWT follows QQQ,0,0.8991521648080104
2025-11-28 14:39:00+00:00 → 2025-11-28 15:15:00+00:00,EWC follows QQQ,-4,0.17132738992098026
2025-11-28 14:39:00+00:00 → 2025-11-28 15:15:00+00:00,EWU follows QQQ,-4,0.24916651176396126
2025-11-28 14:39:00+00:00 → 2025-11-28 15:15:00+00:00,XLK follows QQQ,0,0.9305233936961389
2025-11-28 14:40:00+00:00 → 2025-11-28 15:18:00+00:00,EWJ follows QQQ,0,0.6085322627577994
2025-11-28 14:40:00+00:00 → 2025-11-28 15:18:00+00:00,EWT follows QQQ,0,0.8858380611264457
2025-11-28 14:40:00+00:00 → 2025-11-28 15:18:00+00:00,EWC follows QQQ,-2,0.1264861064041308
2025-11-28 14:40:00+00:00 → 2025-11-28 15:18:00+00:00,EWU follows QQQ,-4,0.1977105052745354
2025-11-28 14:40:00+00:00 → 2025-11-28 15:18:00+00:00,XLK follows QQQ,0,0.9169165809771335
2025-11-28 14:41:00+00:00 → 2025-11-28 15:19:00+00:00,EWJ follows QQQ,0,0.663547951852357
2025-11-28 14:41:00+00:00 → 2025-11-28 15:19:00+00:00,EWT follows QQQ,0,0.8570402280229131
2025-11-28 14:41:00+00:00 → 2025-11-28 15:19:00+00:00,EWC follows QQQ,-4,0.16549488479516425
2025-11-28 14:41:00+00:00 → 2025-11-28 15:19:00+00:00,EWU follows QQQ,-4,0.20437139204829552
2025-11-28 14:41:00+00:00 → 2025-11-28 15:19:00+00:00,XLK follows QQQ,0,0.9016362250710966
2025-11-28 14:42:00+00:00 → 2025-11-28 15:20:00+00:00,EWJ follows QQQ,0,0.6374293133078757
2025-11-28 14:42:00+00:00 → 2025-11-28 15:20:00+00:00,EWT follows QQQ,0,0.857994785545112
2025-11-28 14:42:00+00:00 → 2025-11-28 15:20:00+00:00,EWC follows QQQ,-4,0.14553166992024216
2025-11-28 14:42:00+00:00 → 2025-11-28 15:20:00+00:00,EWU follows QQQ,-4,0.21211317569841737
2025-11-28 14:42:00+00:00 → 2025-11-28 15:20:00+00:00,XLK follows QQQ,0,0.8975950615047752
2025-11-28 14:43:00+00:00 → 2025-11-28 15:21:00+00:00,EWJ follows QQQ,0,0.4996269742372812
2025-11-28 14:43:00+00:00 → 2025-11-28 15:21:00+00:00,EWT follows QQQ,0,0.8357004872195402
2025-11-28 14:43:00+00:00 → 2025-11-28 15:21:00+00:00,EWC follows QQQ,-2,0.2780296500793726
2025-11-28 14:43:00+00:00 → 2025-11-28 15:21:00+00:00,EWU follows QQQ,-4,0.17651988897224183
2025-11-28 14:43:00+00:00 → 2025-11-28 15:21:00+00:00,XLK follows QQQ,0,0.8907368764756898
2025-11-28 14:44:00+00:00 → 2025-11-28 15:22:00+00:00,EWJ follows QQQ,0,0.42902867601227074
2025-11-28 14:44:00+00:00 → 2025-11-28 15:22:00+00:00,EWT follows QQQ,0,0.8284296584064097
2025-11-28 14:44:00+00:00 → 2025-11-28 15:22:00+00:00,EWC follows QQQ,-2,0.27137354887252485
2025-11-28 14:44:00+00:00 → 2025-11-28 15:22:00+00:00,EWU follows QQQ,1,0.21896085557419273
2025-11-28 14:44:00+00:00 → 2025-11-28 15:22:00+00:00,XLK follows QQQ,0,0.8838928494057596
