Period,Hypothesis,Lag (minutes),Correlation
2025-10-27 16:56:00+00:00 to 2025-10-27 17:25:00+00:00,IWM follows SPY,3,0.3577040623714493
2025-10-27 18:02:00+00:00 to 2025-10-27 18:31:00+00:00,IWM follows SPY,-2,0.35132532879992756
2025-10-27 18:03:00+00:00 to 2025-10-27 18:32:00+00:00,IWM follows SPY,-2,0.35278491707440746
2025-10-27 18:04:00+00:00 to 2025-10-27 18:33:00+00:00,IWM follows SPY,3,0.4202606717597528
2025-10-27 18:05:00+00:00 to 2025-10-27 18:34:00+00:00,IWM follows SPY,3,0.40593054678568014
2025-10-27 18:06:00+00:00 to 2025-10-27 18:35:00+00:00,IWM follows SPY,3,0.34847416698157063
2025-10-27 18:07:00+00:00 to 2025-10-27 18:36:00+00:00,IWM follows SPY,3,0.366638600202384
2025-10-27 18:08:00+00:00 to 2025-10-27 18:37:00+00:00,IWM follows SPY,3,0.3073420435095517
2025-10-27 18:09:00+00:00 to 2025-10-27 18:38:00+00:00,IWM follows SPY,3,0.27252160512932316
2025-10-27 18:10:00+00:00 to 2025-10-27 18:39:00+00:00,IWM follows SPY,-2,0.3676940309513668
2025-10-27 18:11:00+00:00 to 2025-10-27 18:40:00+00:00,IWM follows SPY,-2,0.36911748863497557
2025-10-27 18:12:00+00:00 to 2025-10-27 18:41:00+00:00,IWM follows SPY,-2,0.39339077664893995
2025-10-27 18:13:00+00:00 to 2025-10-27 18:42:00+00:00,IWM follows SPY,-2,0.39041641818240025
2025-10-27 18:14:00+00:00 to 2025-10-27 18:43:00+00:00,IWM follows SPY,-2,0.4679709624414334
2025-10-27 18:15:00+00:00 to 2025-10-27 18:44:00+00:00,IWM follows SPY,-2,0.44981157096282665
2025-10-27 18:16:00+00:00 to 2025-10-27 18:45:00+00:00,IWM follows SPY,-2,0.4552001416413159
2025-10-27 18:17:00+00:00 to 2025-10-27 18:46:00+00:00,IWM follows SPY,-2,0.41154023527714395
2025-10-27 18:18:00+00:00 to 2025-10-27 18:47:00+00:00,IWM follows SPY,-2,0.43114387207031113
2025-10-27 18:19:00+00:00 to 2025-10-27 18:48:00+00:00,IWM follows SPY,-2,0.4377492030542182
2025-10-27 18:20:00+00:00 to 2025-10-27 18:49:00+00:00,IWM follows SPY,-2,0.4562318286575005
2025-10-27 18:21:00+00:00 to 2025-10-27 18:50:00+00:00,IWM follows SPY,-2,0.39882398974455097
2025-10-27 18:22:00+00:00 to 2025-10-27 18:51:00+00:00,IWM follows SPY,4,0.2632265368945854
2025-10-27 18:23:00+00:00 to 2025-10-27 18:52:00+00:00,IWM follows SPY,4,0.25437563506818545
2025-10-27 18:24:00+00:00 to 2025-10-27 18:53:00+00:00,IWM follows SPY,1,0.294349823034475
2025-10-27 18:25:00+00:00 to 2025-10-27 18:54:00+00:00,IWM follows SPY,1,0.24691564234050906
